"word","type","pronunciation","definition_vn","unit"
"API","noun","/ˌeɪ.piːˈaɪ/","Giao diện lập trình ứng dụng","AI & Tech"
"Framework","noun","/ˈfreɪm.wɜːk/","Khung làm việc, bộ mã nguồn","AI & Tech"
"Library","noun","/ˈlaɪ.brər.i/","Thư viện (code)","AI & Tech"
"Component","noun","/kəmˈpəʊ.nənt/","Thành phần","AI & Tech"
"Integration","noun","/ˌɪn.tɪˈɡreɪ.ʃən/","Sự tích hợp","AI & Tech"
"Scalability","noun","/ˌskeɪ.ləˈbɪl.ə.ti/","Khả năng mở rộng","AI & Tech"
"Latency","noun","/ˈleɪ.tən.si/","Độ trễ","AI & Tech"
"Throughput","noun","/ˈθruː.pʊt/","Lưu lượng xử lý, băng thông thực tế","AI & Tech"
"Reliability","noun","/rɪˌlaɪ.əˈbɪl.ə.ti/","Độ tin cậy","AI & Tech"
"Security","noun","/sɪˈkjʊə.rə.ti/","An ninh, bảo mật","AI & Tech"
"Privacy","noun","/ˈprɪv.ə.si/","Sự riêng tư","AI & Tech"
"Ethics","noun","/ˈeθ.ɪks/","Đạo đức","Common"
"Strategy","noun","/ˈstræt.ə.dʒi/","Chiến lược","Professional"
"Project","noun","/ˈprɒdʒ.ekt/","Dự án","Professional"
"Manager","noun","/ˈmæn.ɪ.dʒər/","Quản lý","Professional"
"Client","noun","/ˈklaɪ.ənt/","Khách hàng, đối tác","Professional"
"Meeting","noun","/ˈmiː.tɪŋ/","Cuộc họp","Professional"
"Deadline","noun","/ˈded.laɪn/","Hạn chót","Professional"
"Schedule","noun","/ˈʃedʒ.uːl/","Lịch trình","Professional"
"Interview","noun","/ˈɪn.tə.vjuː/","Phỏng vấn","Professional"
"Portfolio","noun","/ˌpɔːtˈfəʊ.li.əʊ/","Hồ sơ năng lực","Professional"
"Resume","noun","/ˈrez.juː.meɪ/","Sơ yếu lý lịch","Professional"
"Career","noun","/kəˈrɪər/","Sự nghiệp","Professional"
"Professional","adj","/prəˈfeʃ.ən.əl/","Chuyên nghiệp","Professional"
"Expert","noun","/ˈek.spɜːt/","Chuyên gia","Professional"
"Skill","noun","/skɪl/","Kỹ năng","Professional"
"Innovation","noun","/ˌɪn.əˈveɪ.ʃən/","Sự đổi mới, sáng kiến","Professional"
"Solution","noun","/səˈluː.ʃən/","Giải pháp","Professional"
"Challenge","noun","/ˈtʃæl.ɪndʒ/","Thử thách","Professional"
"Impact","noun","/ˈɪm.pækt/","Tác động, ảnh hưởng","Professional"
"Opinion","noun","/əˈpɪn.jən/","Ý kiến","Common"
"Decision","noun","/dɪˈsɪʒ.ən/","Quyết định","Common"
"Opportunity","noun","/ˌɒp.əˈtjuː.nə.ti/","Cơ hội","Common"
"Resource","noun","/rɪˈzɔːs/","Nguồn lực, tài nguyên","Common"
"Efficiency","noun","/ɪˈfɪʃ.ən.si/","Sự hiệu quả, năng suất","Professional"
"Quality","noun","/ˈkwɒl.ə.ti/","Chất lượng","Professional"
"Standard","noun","/ˈstæn.dəd/","Tiêu chuẩn","Professional"
"Requirement","noun","/rɪˈkwaɪə.mənt/","Yêu cầu","Professional"
"Process","noun","/ˈprəʊ.ses/","Quy trình","Professional"
"Structure","noun","/ˈstrʌk.tʃər/","Cấu trúc","Common"
"Benefit","noun","/ˈben.ɪ.fɪt/","Lợi ích","Common"
"Feedback","noun","/ˈfiːd.bæk/","Phản hồi","Professional"
"Environment","noun","/ɪnˈvaɪ.rən.mənt/","Môi trường","Common"
"Success","noun","/səkˈses/","Thành công","Common"
"Failure","noun","/ˈfeɪ.ljər/","Thất bại","Common"
"Effort","noun","/ˈef.ət/","Nỗ lực","Professional"
"Progress","noun","/ˈprəʊ.ɡres/","Tiến độ","Professional"
"Method","noun","/ˈmeθ.əd/","Phương pháp","Professional"
"Procedure","noun","/prəˈsiː.dʒər/","Thủ tục","Professional"
"Compliance","noun","/kəmˈplaɪ.əns/","Sự tuân thủ","Professional"
"Risk","noun","/rɪsk/","Rủi ro","Professional"
"Assessment","noun","/əˈses.mənt/","Sự đánh giá","Professional"
"Development","noun","/dɪˈvel.əp.mənt/","Sự phát triển","Professional"
"Maintenance","noun","/ˈmeɪn.tə.nəns/","Bảo trì","Professional"
"Support","noun","/səˈpɔːt/","Hỗ trợ","Professional"
"Customer","noun","/ˈkʌs.tə.mər/","Khách hàng (người mua)","Professional"
"Revenue","noun","/ˈrev.ən.juː/","Doanh thu","Professional"
"Budget","noun","/ˈbʌdʒ.ɪt/","Ngân sách","Professional"
"Profit","noun","/ˈprɒf.ɪt/","Lợi nhuận","Professional"
"Collaboration","noun","/kəˌlæb.əˈreɪ.ʃən/","Sự cộng tác","Professional"
"Leadership","noun","/ˈliː.də.ʃɪp/","Khả năng lãnh đạo","Professional"
"Productivity","noun","/ˌprɒd.ʌkˈtɪv.ə.ti/","Năng suất lao động","Professional"
"Flexibility","noun","/ˌflek.səˈbɪl.ə.ti/","Tính linh hoạt","Professional"
"Communication","noun","/kəˌmjuː.nɪˈkeɪ.ʃən/","Giao tiếp","Common"
"Negotiation","noun","/nəˌɡəʊ.ʃiˈeɪ.ʃən/","Sự thương lượng, đàm phán","Professional"
"Presentation","noun","/ˌprez.ənˈteɪ.ʃən/","Bài thuyết trình","Professional"
"Document","noun","/ˈdɒk.jə.mənt/","Tài liệu","Common"
"Format","noun","/ˈfɔː.mæt/","Định dạng","Common"
"Function","noun","/ˈfʌŋk.ʃən/","Hàm số, chức năng","AI & Tech"
"Variable","noun","/ˈveə.ri.ə.bl̩/","Biến số","AI & Tech"
"Constant","noun","/ˈkɒn.stənt/","Hằng số","AI & Tech"
"Syntax","noun","/ˈsɪn.tæks/","Cú pháp","AI & Tech"
"Logic","noun","/ˈlɒdʒ.ɪk/","Lập luận, lô-gic","AI & Tech"
"Pattern","noun","/ˈpæt.ən/","Hoa văn, khuôn mẫu","Common"
"Trend","noun","/trend/","Xu hướng","Common"
"Feature","noun","/ˈfiː.tʃər/","Tính năng, đặc điểm","Common"
"Advantage","noun","/ədˈvɑːn.tɪdʒ/","Ưu thế, thuận lợi","Common"
"Disadvantage","noun","/ˌdɪs.ədˈvɑːn.tɪdʒ/","Nhược điểm","Common"
"Challenge","noun","/ˈtʃæl.ɪndʒ/","Thử thách","Common"
"Solution","noun","/səˈluː.ʃən/","Giải pháp","Common"
"Effect","noun","/ɪˈfekt/","Hiệu ứng, tác động","Common"
"Affect","verb","/əˈfekt/","Ảnh hưởng đến","Common"
"Improvement","noun","/ɪmˈpruːv.mənt/","Sự cải thiện","Common"
"Increase","verb","/ɪnˈkriːs/","Tăng lên","Common"
"Decrease","verb","/dɪˈkriːs/","Giảm xuống","Common"
"Performance","noun","/pəˈfɔː.məns/","Hiệu suất, buổi trình diễn","Professional"
"Stable","adj","/ˈsteɪ.bl̩/","Ổn định","Professional"
"Gradient","noun","/ˈɡreɪ.di.ənt/","Độ dốc, sự thay đổi độ biến thiên","AI & Tech"
"Bias","noun","/ˈbaɪ.əs/","Độ lệch, thành kiến (trong dữ liệu)","AI & Tech"
"Variance","noun","/ˈveə.ri.əns/","Phương sai, sự biến động","AI & Tech"
"Overfitting","noun","/ˌəʊ.vəˈfɪt.ɪŋ/","Quá khớp (mô hình quá học thuộc lòng)","AI & Tech"
"Underfitting","noun","/ˌʌn.dəˈfɪt.ɪŋ/","Chưa khớp (mô hình quá đơn giản)","AI & Tech"
"Epoch","noun","/ˈiː.pɒk/","Một chu kỳ huấn luyện toàn bộ dữ liệu","AI & Tech"
"Batch","noun","/bætʃ/","Lô, nhóm dữ liệu xử lý cùng lúc","AI & Tech"
"Weight","noun","/weɪt/","Trọng số","AI & Tech"
"Activation","noun","/ˌæk.tɪˈveɪ.ʃən/","Sự kích hoạt (hàm kích hoạt)","AI & Tech"
"Inference","noun","/ˈɪn.fər.əns/","Sự suy luận (mô hình chạy thực tế)","AI & Tech"
"Prediction","noun","/prɪˈdɪk.ʃən/","Sự dự đoán","AI & Tech"
"Accuracy","noun","/ˈæk.jə.rə.si/","Độ chính xác","AI & Tech"
"Precision","noun","/prɪˈsɪʒ.ən/","Độ chuẩn xác (khả năng lọc nhiễu)","AI & Tech"
"Recall","noun","/rɪˈkɔːl/","Độ bao phủ, khả năng tìm lại","AI & Tech"
"Clustering","noun","/ˈklʌs.tər.ɪŋ/","Sự phân cụm","AI & Tech"
"Regression","noun","/rɪˈɡreʃ.ən/","Sự hồi quy","AI & Tech"
"Classification","noun","/ˌklæs.ɪ.fɪˈkeɪ.ʃən/","Sự phân loại","AI & Tech"
"Supervised","adj","/ˈsuː.pə.vaɪzd/","Có giám sát","AI & Tech"
"Unsupervised","adj","/ʌnˈsuː.pə.vaɪzd/","Không giám sát","AI & Tech"
"Reinforcement","noun","/ˌriː.ɪnˈfɔːs.mənt/","Học tăng cường","AI & Tech"
"Warehouse","noun","/ˈweə.haʊs/","Kho hàng, kho dữ liệu","AI & Tech"
"Streaming","noun","/ˈstriː.mɪŋ/","Xử lý luồng (dữ liệu trực tiếp)","AI & Tech"
"Asynchronous","adj","/eɪˈsɪŋ.krə.nəs/","Bất đồng bộ","AI & Tech"
"Synchronous","adj","/ˈsɪŋ.krə.nəs/","Đồng bộ","AI & Tech"
"Endpoint","noun","/ˈend.pɔɪnt/","Điểm cuối (địa chỉ API)","AI & Tech"
"Token","noun","/ˈtəʊ.kən/","Mã thông báo, đơn vị từ vựng trong LLM","AI & Tech"
"Embedding","noun","/ɪmˈbed.ɪŋ/","Sự nhúng (chuyển từ sang vector)","AI & Tech"
"Vector","noun","/ˈvek.tər/","Véc-tơ","AI & Tech"
"Matrix","noun","/ˈmeɪ.trɪks/","Ma trận","AI & Tech"
"Tensor","noun","/ˈten.sər/","Mảng đa chiều","AI & Tech"
"Sprite","noun","/spraɪt/","Hình ảnh đồ họa 2D trong game","Game Dev"
"Asset","noun","/ˈæs.et/","Tài nguyên (hình ảnh, âm thanh)","Game Dev"
"Physics","noun","/ˈfɪz.ɪks/","Vật lý (trong game)","Game Dev"
"Collision","noun","/kəˈlɪʒ.ən/","Sự va chạm","Game Dev"
"Trigger","noun","/ˈtrɪɡ.ər/","Vùng kích hoạt, trình kích hoạt","Game Dev"
"Prefab","noun","/ˈpriː.fæb/","Vật thể mẫu (đã thiết kế sẵn)","Game Dev"
"Scene","noun","/siːn/","Cảnh game","Game Dev"
"Frame","noun","/freɪm/","Khung hình","Game Dev"
"Render","verb","/ˈren.dər/","Xuất hình ảnh, kết xuất","Game Dev"
"Shader","noun","/ˈʃeɪ.dər/","Trình đổ bóng","Game Dev"
"Mesh","noun","/meʃ/","Lưới đa giác (vật thể 3D)","Game Dev"
"UI/UX","noun","/ˌjuː.aɪ ˌjuː.eks/","Giao diện và trải nghiệm người dùng","Game Dev"
"Animation","noun","/ˌæn.ɪˈmeɪ.ʃən/","Hoạt ảnh","Game Dev"
"Particle","noun","/ˈpɑː.tɪ.kl̩/","Hệ thống hạt (hiệu ứng khói, lửa)","Game Dev"
"Texture","noun","/ˈteks.tʃər/","Kết cấu, vân bề mặt","Game Dev"
"Material","noun","/məˈtɪə.ri.əl/","Chất liệu","Game Dev"
"Viewport","noun","/ˈvjuː.pɔːt/","Cửa sổ hiển thị","Game Dev"
"Raycast","noun","/ˈreɪ.kɑːst/","Tia dò (kiểm tra va chạm từ xa)","Game Dev"
"Handler","noun","/ˈhænd.lər/","Trình xử lý (sự kiện)","Game Dev"
"Callback","noun","/ˈkɔːl.bæk/","Hàm gọi lại","Game Dev"
"Probation","noun","/prəˈbeɪ.ʃən/","Thử việc","Professional"
"Recruitment","noun","/rɪˈkruːt.mənt/","Sự tuyển dụng","Professional"
"Onboarding","noun","/ˈɒnˌbɔː.dɪŋ/","Quá trình nhập môn cho nhân viên mới","Professional"
"Mentorship","noun","/ˈmen.tɔː.ʃɪp/","Sự cố vấn, hướng dẫn","Professional"
"Appraisal","noun","/əˈpreɪ.zəl/","Sự đánh giá, xét duyệt","Professional"
"KPI","noun","/ˌkeɪ.piːˈaɪ/","Chỉ số đo lường hiệu quả công việc","Professional"
"OKR","noun","/ˌəʊ.keɪˈɑːr/","Mục tiêu và kết quả then chót","Professional"
"Roadmap","noun","/ˈrəʊd.mæp/","Lộ trình","Professional"
"Milestone","noun","/ˈmaɪl.stəʊn/","Cột mốc quan trọng","Professional"
"Sprint","noun","/sprɪnt/","Giai đoạn làm việc ngắn (Agile)","Professional"
"Backlog","noun","/ˈbæk.lɒɡ/","Danh sách công việc tồn đọng","Professional"
"Scrum","noun","/skrʌm/","Mô hình quản lý dự án linh hoạt","Professional"
"Standup","noun","/ˈstænd.ʌp/","Hội ý nhanh hàng ngày","Professional"
"Workshop","noun","/ˈwɜːk.ʃɒp/","Hội thảo thực hành","Professional"
"Networking","noun","/ˈnet.wɜː.kɪŋ/","Sự kết nối mạng lưới quan hệ","Professional"
"Referral","noun","/rɪˈfɜː.rəl/","Sự giới thiệu (nhân sự/khách hàng)","Professional"
"Testimonial","noun","/ˌtes.tɪˈməʊ.ni.əl/","Lời chứng thực, đánh giá tốt","Professional"
"Credential","noun","/krɪˈden.ʃəl/","Chứng chỉ, thông tin xác thực","Professional"
"Certification","noun","/ˌsɜː.tɪ.fɪˈkeɪ.ʃən/","Sự cấp chứng chỉ","Professional"
"Degree","noun","/dɪˈɡriː/","Bằng cấp","Professional"
"Ownership","noun","/ˈəʊ.nə.ʃɪp/","Quyền sở hữu, tinh thần trách nhiệm","Professional"
"Accountability","noun","/əˌkaʊn.təˈbɪl.ə.ti/","Trách nhiệm giải trình","Professional"
"Initiative","noun","/ɪˈnɪʃ.ə.tɪv/","Sự chủ động, sáng kiến","Professional"
"Proactive","adj","/ˌprəʊˈæk.tɪv/","Tiên phong, chủ động","Professional"
"Reactive","adj","/riˈæk.tɪv/","Phản ứng (đợi việc tới mới làm)","Professional"
"Teamwork","noun","/ˈtiːm.wɜːk/","Làm việc nhóm","Professional"
"Gratitude","noun","/ˈɡræt.ɪ.tʃuːd/","Lòng biết ơn","Daily"
"Appreciation","noun","/əˌpriː.ʃiˈeɪ.ʃən/","Sự trân trọng","Daily"
"Empathy","noun","/ˈem.pə.θi/","Sự thấu cảm","Daily"
"Compassion","noun","/kəmˈpæʃ.ən/","Lòng trắc ẩn","Daily"
"Integrity","noun","/ɪnˈteɡ.rə.ti/","Sự liêm chính, chính trực","Daily"
"Dignity","noun","/ˈdɪɡ.nə.ti/","Lòng tự trọng, phẩm giá","Daily"
"Reputation","noun","/ˌrep.jəˈteɪ.ʃən/","Danh tiếng","Daily"
"Authority","noun","/ɔːˈθɒr.ə.ti/","Thẩm quyền, uy tín","Daily"
"Equality","noun","/iˈkwɒl.ə.ti/","Sự bình đẳng","Daily"
"Diversity","noun","/daɪˈvɜː.sə.ti/","Sự đa dạng","Daily"
"Resilience","noun","/rɪˈzɪl.i.əns/","Sự kiên cường, khả năng phục hồi","Daily"
"Persistence","noun","/pəˈsɪs.təns/","Sự kiên trì","Daily"
"Humility","noun","/hjuːˈmɪl.ə.ti/","Sự khiêm tốn","Daily"
"Wisdom","noun","/ˈwɪz.dəm/","Sự khôn ngoan","Daily"
"Intelligence","noun","/ɪnˈtel.ɪ.dʒəns/","Sự thông minh","Daily"
"Confidence","noun","/ˈkɒn.fɪ.dəns/","Sự tự tin","Daily"
"Anxiety","noun","/æŋˈzaɪ.ə.ti/","Sự lo âu","Daily"
"Stress","noun","/stres/","Sự căng thẳng","Daily"
"Habit","noun","/ˈhæb.ɪt/","Thói quen","Daily"
"Discipline","noun","/ˈdɪs.ə.plɪn/","Kỷ luật","Daily"
"Success","noun","/səkˈses/","Thành công","Daily"
"Ambition","noun","/æmˈbɪʃ.ən/","Tham vọng","Daily"
"Adventure","noun","/ədˈven.tʃər/","Cuộc phiêu lưu","Daily"
"Comfort","noun","/ˈkʌm.fət/","Sự thoải mái, an ủi","Daily"
"Support","verb","/səˈpɔːt/","Hỗ trợ, ủng hộ","Daily"
"Celebrate","verb","/ˈsel.ə.breɪt/","Ăn mừng, kỷ niệm","Daily"
"Improve","verb","/ɪmˈpruːv/","Cải thiện","Daily"
"Inspire","verb","/ɪnˈspaɪər/","Truyền cảm hứng","Daily"
"Motivate","verb","/ˈməʊ.tɪ.veɪt/","Thúc đẩy, tạo động lực","Daily"
"Achieve","verb","/əˈtʃiːv/","Đạt được","Daily"
"Perform","verb","/pəˈfɔːm/","Trình diễn, thực hiện","Daily"
"Organize","verb","/ˈɔː.ɡə.naɪz/","Tổ chức, sắp xếp","Daily"
"Manage","verb","/ˈmæn.ɪdʒ/","Quản lý","Daily"
"Explain","verb","/ɪkˈspleɪn/","Giải thích","Daily"
"Discuss","verb","/dɪˈskʌs/","Thảo luận","Daily"
"Imagine","verb","/ɪˈmædʒ.ɪn/","Tưởng tượng","Daily"
"Creative","adj","/kriˈeɪ.tɪv/","Sáng tạo","Daily"
"Logical","adj","/ˈlɒdʒ.ɪ.kəl/","Hợp lô-gic","Daily"
"Patient","adj","/ˈpeɪ.ʃənt/","Kiên nhẫn","Daily"
"Reliable","adj","/rɪˈlaɪ.ə.bl̩/","Đáng tin cậy","Daily"
"Generous","adj","/ˈdʒen.ər.əs/","Hào phóng","Daily"
"Humble","adj","/ˈhʌm.bl̩/","Khiêm nhường","Daily"
"Brave","adj","/breɪv/","Dũng cảm","Daily"
"Curious","adj","/ˈkjʊə.ri.əs/","Tò mò, ham học hỏi","Daily"
"Sincere","adj","/sɪnˈsɪər/","Chân thành","Daily"
"Polite","adj","/pəˈlaɪt/","Lịch sự","Daily"
"Energetic","adj","/ˌen.əˈdʒet.ɪk/","Năng động","Daily"
"Positive","adj","/ˈpɒz.ə.tɪv/","Tích cực","Daily"
"Flexible","adj","/ˈflek.sə.bl̩/","Linh hoạt","Daily"
"Independent","adj","/ˌɪn.dɪˈpen.dənt/","Độc lập","Daily"
"Responsible","adj","/rɪˈspɒn.sə.bl̩/","Có trách nhiệm","Daily"
"Talented","adj","/ˈtæl.ən.tɪd/","Tài năng","Daily"
"Enthusiastic","adj","/ɪnˌθjuː.ziˈæs.tɪk/","Nhiệt tình","Daily"
"Focused","adj","/ˈfəʊ.kəst/","Tập trung","Daily"
"Determination","noun","/dɪˌtɜː.mɪˈneɪ.ʃən/","Sự quyết tâm","Daily"
"Commitment","noun","/kəˈmɪt.mənt/","Sự cam kết","Daily"
"Opportunity","noun","/ˌɒp.əˈtjuː.nə.ti/","Cơ hội","Daily"
"Possibility","noun","/ˌpɒs.əˈbɪl.ə.ti/","Khả năng, sự khả thi","Daily"
"Potential","noun","/pəˈten.ʃəl/","Tiềm năng","Daily"
"Challenge","noun","/ˈtʃæl.ɪndʒ/","Thách thức","Daily"
"Solution","noun","/səˈluː.ʃən/","Giải pháp","Daily"
"Impact","noun","/ˈɪm.pækt/","Tác động","Daily"
"Benefit","noun","/ˈben.ɪ.fɪt/","Lợi ích","Daily"
"Advantage","noun","/ədˈvɑːn.tɪdʒ/","Ưu thế","Daily"
"Value","noun","/ˈvæl.juː/","Giá trị","Daily"
"Purpose","noun","/ˈpɜː.pəs/","Mục đích","Daily"
"Vision","noun","/ˈvɪʒ.ən/","Tầm nhìn","Daily"
"Mission","noun","/ˈmɪʃ.ən/","Sứ mệnh","Daily"
"Standard","noun","/ˈstæn.dəd/","Tiêu chuẩn","Daily"
"Quality","noun","/ˈkwɒl.ə.ti/","Chất lượng","Daily"
"Safety","noun","/ˈseɪf.ti/","Sự an toàn","Daily"
"Privacy","noun","/ˈprɪv.ə.si/","Sự riêng tư","Daily"
"Security","noun","/sɪˈkjʊə.rə.ti/","An ninh","Daily"
"Balance","noun","/ˈbæl.əns/","Sự cân bằng","Daily"
"Control","noun","/kənˈtrəʊl/","Sự kiểm soát","Daily"
"Change","noun","/tʃeɪndʒ/","Sự thay đổi","Daily"
"Growth","noun","/ɡrəʊθ/","Sự tăng trưởng","Daily"
"Harmony","noun","/ˈhɑː.mə.ni/","Sự hòa hợp","Daily"
"Peace","noun","/piːs/","Hòa bình","Daily"
"Justice","noun","/ˈdʒʌs.tɪs/","Sự công bằng","Daily"
"Truth","noun","/truːθ/","Sự thật","Daily"
"Freedom","noun","/ˈfriː.dəm/","Sự tự do","Daily"
"Honor","noun","/ˈɒn.ər/","Danh dự","Daily"
"Respect","noun","/rɪˈspekt/","Sự tôn trọng","Daily"
"Kindness","noun","/ˈkaɪnd.nəs/","Sự tử tế","Daily"
"Loyalty","noun","/ˈlɔɪ.əl.ti/","Sự trung thành","Daily"
"Bravery","noun","/ˈbreɪ.vər.i/","Lòng dũng cảm","Daily"
