word,type,pronunciation,definition_vn,unit
Upload,v,/ˌʌpˈləʊd/,tải lên,Unit 3
Bamboo flute,n,/ˌbæmˈbuː fluːt/,sáo trúc,Unit 4
Ethnic group,n,/ˈeθnɪk ɡruːp/,nhóm dân tộc,Unit 4
Five-colour sticky rice,n,/faɪv ˈkʌlə(r) ˈstɪki raɪs/,xôi ngũ sắc,Unit 4
Folk dance,n,/fəʊk dɑːns/,điệu múa dân gian,Unit 4
Gardening,n,/ˈɡɑːdnɪŋ/,công việc làm vườn,Unit 4
Gong,n,/ɡɒŋ/,"cái cồng, chiêng",Unit 4
Livestock,n,/ˈlaɪvstɒk/,vật nuôi (trang trại),Unit 4
Minority group,n,/maɪˈnɒrəti ɡruːp/,nhóm dân tộc thiểu số,Unit 4
Musical instrument,n,/ˈmjuːzɪkl ˈɪnstrəmənt/,nhạc cụ,Unit 4
Open fire,n,/ˈəʊpən ˈfaɪə(r)/,bếp lửa mở,Unit 4
Posts,n,/pəʊsts/,cột (nhà sàn),Unit 4
Raise,v,/reɪz/,"chăn nuôi, nuôi dưỡng",Unit 4
Rong house,n,/rɒŋ haʊs/,nhà rông của đồng bào Tây Nguyên,Unit 4
Staircase,n,/ˈsteəkeɪs/,cầu thang,Unit 4
Stilt house,n,/stilt haʊs/,nhà sàn,Unit 4
Terraced fields,n,/ˈterəst fiːldz/,ruộng bậc thang,Unit 4
Weaving,n,/ˈwiːvɪŋ/,"việc đan, dệt",Unit 4
Wooden statue,n,/ˈwʊdn ˈstætʃuː/,tượng gỗ,Unit 4
Admire,v,/ədˈmaɪə(r)/,"ngưỡng mộ, chiêm ngưỡng",Unit 5
Bamboo pole,n,/ˌbæmˈbuː pəʊl/,cây nêu,Unit 5
Blooming flowers,n,/ˈbluːmɪŋ ˈflaʊəz/,hoa đang nở,Unit 5
Celebration,n,/ˌselɪˈbreɪʃn/,"sự tổ chức, lễ kỷ niệm",Unit 5
Chase,v,/tʃeɪs/,"xua đuổi, đuổi theo",Unit 5
Communal house,n,/kəˈmjuːnl haʊs/,đình làng,Unit 5
Custom,n,/ˈkʌstəm/,phong tục,Unit 5
Decorative items,n,/ˈdekərətɪv ˈaɪtəmz/,đồ trang trí,Unit 5
Family reunion,n,/ˈfæməli riːˈjuːniən/,cuộc sum họp gia đình,Unit 5
Festival goers,n,/ˈfestɪvl ɡəʊəz/,người đi trẩy hội,Unit 5
Food offerings,n,/fuːd ˈɒfərɪŋz/,đồ cúng tế,Unit 5
Martial arts,n,/ˌmɑːʃl ˈɑːts/,võ thuật,Unit 5
Ornamental tree,n,/ˌɔːnəˈmentl triː/,cây cảnh,Unit 5
Place,v,/pleɪs/,"đặt, để",Unit 5
Pray,v,/preɪ/,cầu nguyện,Unit 5
Reunion,n,/ˌriːˈjuːniən/,sự sum họp,Unit 5
Wedding ceremony,n,/ˈwedɪŋ ˈserəməni/,hôn lễ,Unit 5
Whale worship,n,/weɪl ˈwɜːʃɪp/,tục thờ cá Ông,Unit 5
Worship,v,/ˈwɜːʃɪp/,"thờ cúng, tôn thờ",Unit 5
